Tanggal,Produk,Kategori,Harga,Jumlah,Wilayah
2026-01-01,Mouse,Elektronik,150000,1,Pasuruan
2026-01-02,Monitor,Elektronik,2000000,4,Sidoarjo
2026-01-03,Keyboard,Elektronik,250000,2,Pasuruan
2026-01-04,Rak,Furnitur,700000,2,Mojokerto
2026-01-05,Kursi,Furnitur,500000,1,Surabaya
2026-01-06,Mouse,Elektronik,150000,4,Sidoarjo
2026-01-07,Rak,Furnitur,700000,10,Surabaya
2026-01-08,Rak,Furnitur,700000,4,Pasuruan
2026-01-09,Rak,Furnitur,700000,7,Sidoarjo
2026-01-10,Lampu,Furnitur,200000,10,Gresik
2026-01-11,Laptop,Elektronik,8000000,3,Pasuruan
2026-01-12,Kursi,Furnitur,500000,6,Gresik
2026-01-13,Keyboard,Elektronik,250000,4,Gresik
2026-01-14,Mouse,Elektronik,150000,2,Malang
2026-01-15,Mouse,Elektronik,150000,6,Gresik
2026-01-16,Monitor,Elektronik,2000000,1,Pasuruan
2026-01-17,Lampu,Furnitur,200000,9,Surabaya
2026-01-18,Kursi,Furnitur,500000,2,Mojokerto
2026-01-19,Monitor,Elektronik,2000000,10,Gresik
2026-01-20,Printer,Elektronik,2500000,2,Surabaya
2026-01-21,Printer,Elektronik,2500000,5,Surabaya
2026-01-22,Printer,Elektronik,2500000,2,Malang
2026-01-23,Monitor,Elektronik,2000000,8,Pasuruan
2026-01-24,Meja,Furnitur,1000000,3,Gresik
2026-01-25,Meja,Furnitur,1000000,4,Pasuruan
2026-01-26,Monitor,Elektronik,2000000,2,Mojokerto
2026-01-27,Keyboard,Elektronik,250000,9,Pasuruan
2026-01-28,Printer,Elektronik,2500000,3,Malang
2026-01-29,Kursi,Furnitur,500000,5,Pasuruan
2026-01-30,Rak,Furnitur,700000,4,Pasuruan
2026-01-31,Meja,Furnitur,1000000,1,Sidoarjo
2026-02-01,Laptop,Elektronik,8000000,6,Malang
2026-02-02,Monitor,Elektronik,2000000,2,Sidoarjo
2026-02-03,Meja,Furnitur,1000000,4,Pasuruan
2026-02-04,Lampu,Furnitur,200000,7,Pasuruan
2026-02-05,Lampu,Furnitur,200000,3,Gresik
2026-02-06,Keyboard,Elektronik,250000,4,Pasuruan
2026-02-07,Rak,Furnitur,700000,9,Gresik
2026-02-08,Kursi,Furnitur,500000,10,Malang
2026-02-09,Meja,Furnitur,1000000,4,Sidoarjo
2026-02-10,Rak,Furnitur,700000,8,Surabaya
2026-02-11,Laptop,Elektronik,8000000,2,Sidoarjo
2026-02-12,Keyboard,Elektronik,250000,7,Mojokerto
2026-02-13,Mouse,Elektronik,150000,7,Malang
2026-02-14,Lampu,Furnitur,200000,9,Gresik
2026-02-15,Rak,Furnitur,700000,1,Pasuruan
2026-02-16,Mouse,Elektronik,150000,9,Gresik
2026-02-17,Meja,Furnitur,1000000,2,Gresik
2026-02-18,Kursi,Furnitur,500000,3,Malang
2026-02-19,Laptop,Elektronik,8000000,5,Mojokerto
2026-02-20,Keyboard,Elektronik,250000,9,Surabaya
2026-02-21,Monitor,Elektronik,2000000,9,Mojokerto
2026-02-22,Printer,Elektronik,2500000,3,Gresik
